Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=97d7d9cb5103d9f5,영상보안[백엔드],Success Korea 서울 쌍림동,,"경력 3년 이상 - 개발 환경 : Golang, C++, SQL, Docker 등 [우대요건] - RTSP 관련 개발 경험 - Concurrent... Golang, C++, SQL, Docker 등 [우대요건] - RTSP..."
https://kr.indeed.com/viewjob?jk=715e20b7a5d710b1,[SE] Asia Central Tech Team Software Eng...,Success Korea 대한민국,,"UX에 관심 [우대사항] - Node.js, AngularJS, Docker, Git 사용 경험 - 문서화, 커뮤니케이션 능력 - 웹사이트 개발... js, AngularJS, Docker, Git 사용 경험 - 문서화..."
https://kr.indeed.com/viewjob?jk=277dba4b889486c0,Server개발_니드포스피드 엣지,Success Korea 서울 강남구,,비자 대상 서비스에대한 전반적인 경험 - MSA 구조에 대한 경험 - Docker에 대한 관심 [전형절차] - 서류심사 온라인 코딩 테스트 1차면접... 경험 - MSA 구조에 대한 경험 - Docker에 대한 관심 [전형절차...
https://kr.indeed.com/viewjob?jk=69c68396780d738a,Server Platform Engineer (Senior),Success Korea 서울 강남구,,"문서화, 커뮤니케이션 능력 [우대사항] - Node.js, Docker, Git 사용 경험 - Micro Service Architecture에... 대사항] - Node.js, Docker, Git 사용 경험 - Micro..."
https://kr.indeed.com/viewjob?jk=fa05d2582b63aa26,Developer for HANA Cloud Service Enablem...,SAP 4.3 서울,,"Kubernetes and Docker on Amazon Web... cloud technologies (e.g. Kubernetes, Docker, etc.) Good communication in English..."
https://kr.indeed.com/viewjob?jk=429614c204adf6e5,영상보안 코어 연구개발[ASAP],Success Korea 서울 쌍림동,,경험 - 다양한 라이브러리 활용 경험 - 코어 라이브러리 개발 경험 - codec 관련 개발 경험 - Docker 등 가상화 경험 - AI관련 개발 경험 [전형절차] 서류전형-코딩테스트-1차면접/인적성테스트-최종면접...
https://kr.indeed.com/viewjob?jk=250ee13a9f7045d7,영상보안 코어 연구개발,Success Korea 서울 쌍림동 +1 지역,,다양한 라이브러리 활용 경험 - 코어 라이브러리 개발 경험 [우대사항] - codec 관련 개발 경험 - Docker 등 가상화 경험 - AI관련 개발 경험 [전형절차] 서류전형-코딩테스트-1차면접/인적성테스트-최종면접...
https://kr.indeed.com/viewjob?jk=18f8b331aceb87db,Vision Engineer/UX engineer,플로이드(FLOYD inc.) 서울 금천구,"연봉 30,000,000원 - 48,000,000원","Realsense등)을 이용한 개발 - Deep Learning model 경량화 - Git, Docker 등 기본적인 개발 도구 사용 - Github/Gitlab 등 repository 운영 채용*분야 2..."
https://kr.indeed.com/viewjob?jk=c193b65defa6a4ec,Web 개발,Success Korea 서울 중구,,"구축 경험자 [우대사항] - GoLang 개발 경험자 - 가상화, Docker 기술 경험자 - 네트워크 지식 보유자 - Python 개발 경험자... GoLang 개발 경험자 - 가상화, Docker 기술 경험자 - 네트워크..."
https://kr.indeed.com/viewjob?jk=1cbd8f84bcf85a5a,Server 개발 - 니드포스피드 엣지,Success Korea 서울,,비자 대상 서비스에대한 전반적인 경험 - MSA 구조에 대한 경험 - Docker에 대한 관심 [전형절차] - 서류심사 온라인 코딩 테스트 1차면접... 경험 - MSA 구조에 대한 경험 - Docker에 대한 관심 [전형절차...
